centr_lat,centr_lon,country
54.52650000000,11.61700000000,Denmark
54.52720000000,11.60830000000,Denmark
54.52860000000,11.59770000000,Denmark
54.53010000000,11.58720000000,Denmark
54.53170000000,11.57700000000,Denmark
54.53360000000,11.56710000000,Denmark
54.53530000000,11.61840000000,Denmark
54.53580000000,11.55690000000,Denmark
54.53600000000,11.60940000000,Denmark
54.53710000000,11.59890000000,Denmark
54.53820000000,11.54690000000,Denmark
54.53840000000,11.58910000000,Denmark
54.53970000000,11.57970000000,Denmark
54.54040000000,11.53760000000,Denmark
54.54120000000,11.57040000000,Denmark
54.54310000000,11.56090000000,Denmark
54.54330000000,11.52780000000,Denmark
54.54430000000,11.61790000000,Denmark
54.54480000000,11.60890000000,Denmark
54.54510000000,11.55150000000,Denmark
54.54560000000,11.60010000000,Denmark
54.54610000000,11.51830000000,Denmark
54.54660000000,11.59110000000,Denmark
54.54700000000,11.54270000000,Denmark
54.54760000000,11.58240000000,Denmark
54.54890000000,11.57380000000,Denmark
54.54910000000,11.50940000000,Denmark
54.54950000000,11.53330000000,Denmark
54.55020000000,11.56570000000,Denmark
54.55190000000,11.52420000000,Denmark
54.55200000000,11.55600000000,Denmark
54.55240000000,11.50030000000,Denmark
54.55330000000,11.61740000000,Denmark
54.55350000000,11.60930000000,Denmark
54.55360000000,11.54780000000,Denmark
54.55410000000,11.60130000000,Denmark
54.55450000000,11.51570000000,Denmark
54.55480000000,11.59300000000,Denmark
54.55560000000,11.58510000000,Denmark
54.55570000000,11.53890000000,Denmark
54.55590000000,11.49110000000,Denmark
54.55650000000,11.57710000000,Denmark
54.55750000000,11.50680000000,Denmark
54.55760000000,11.56890000000,Denmark
54.55770000000,11.53020000000,Denmark
54.55890000000,11.56050000000,Denmark
54.55930000000,11.48290000000,Denmark
54.56000000000,11.52200000000,Denmark
54.56010000000,11.55290000000,Denmark
54.56050000000,11.49790000000,Denmark
54.56220000000,11.54300000000,Denmark
54.56230000000,11.61700000000,Denmark
54.56230000000,11.60960000000,Denmark
54.56250000000,11.51340000000,Denmark
54.56260000000,11.60240000000,Denmark
54.56310000000,11.59500000000,Denmark
54.56320000000,11.47420000000,Denmark
54.56350000000,11.58780000000,Denmark
54.56350000000,11.53610000000,Denmark
54.56350000000,11.48980000000,Denmark
54.56410000000,11.58040000000,Denmark
54.56490000000,11.57290000000,Denmark
54.56510000000,11.50470000000,Denmark
54.56530000000,11.52830000000,Denmark
54.56590000000,11.56510000000,Denmark
54.56670000000,11.55800000000,Denmark
54.56700000000,11.48120000000,Denmark
54.56700000000,11.46600000000,Denmark
54.56750000000,11.51990000000,Denmark
54.56780000000,11.49670000000,Denmark
54.56810000000,11.55000000000,Denmark
54.56930000000,11.54210000000,Denmark
54.56980000000,11.51150000000,Denmark
54.57040000000,11.47290000000,Denmark
54.57070000000,11.48810000000,Denmark
54.57080000000,11.53460000000,Denmark
54.57120000000,11.45790000000,Denmark
54.57200000000,11.50360000000,Denmark
54.57250000000,11.52650000000,Denmark
54.57380000000,11.47990000000,Denmark
54.57420000000,11.46480000000,Denmark
54.57440000000,11.51830000000,Denmark
54.57450000000,11.49510000000,Denmark
54.57620000000,11.51050000000,Denmark
54.57720000000,11.47170000000,Denmark
54.57720000000,11.48680000000,Denmark
54.57850000000,11.50140000000,Denmark
54.58020000000,11.47860000000,Denmark
54.58060000000,11.49380000000,Denmark
54.58320000000,11.48550000000,Denmark
