centr_lat,centr_lon,country
22.10570000000,113.73800000000,China
22.10620000000,113.74600000000,China
22.11150000000,113.74200000000,China
22.11170000000,113.73400000000,China
22.11180000000,113.72700000000,China
22.11770000000,113.73800000000,China
22.11770000000,113.74600000000,China
22.11790000000,113.73100000000,China
22.11800000000,113.72300000000,China
22.11810000000,113.71600000000,China
22.11830000000,113.70800000000,China
22.12380000000,113.74300000000,China
22.12390000000,113.73600000000,China
22.12410000000,113.72700000000,China
22.12420000000,113.72000000000,China
22.12430000000,113.71200000000,China
22.12440000000,113.70500000000,China
22.12450000000,113.69700000000,China
22.13040000000,113.73200000000,China
22.13050000000,113.73900000000,China
22.13080000000,113.72400000000,China
22.13150000000,113.71700000000,China
22.13650000000,113.74200000000,China
22.13660000000,113.73500000000,China
22.13670000000,113.72800000000,China
22.14260000000,113.73900000000,China
22.14270000000,113.73100000000,China
22.14280000000,113.72400000000,China
22.14850000000,113.74300000000,China
22.14860000000,113.73500000000,China
22.14870000000,113.72800000000,China
22.15450000000,113.73900000000,China
22.15470000000,113.73200000000,China
22.16060000000,113.73500000000,China
