centr_lat,centr_lon,country
54.52550000000,11.75970000000,Denmark
54.52680000000,11.74650000000,Denmark
54.52820000000,11.73330000000,Denmark
54.52950000000,11.72010000000,Denmark
54.52980000000,11.75970000000,Denmark
54.53090000000,11.70690000000,Denmark
54.53120000000,11.74650000000,Denmark
54.53220000000,11.69370000000,Denmark
54.53250000000,11.73330000000,Denmark
54.53360000000,11.68050000000,Denmark
54.53380000000,11.72010000000,Denmark
54.53410000000,11.75970000000,Denmark
54.53490000000,11.66730000000,Denmark
54.53520000000,11.70690000000,Denmark
54.53550000000,11.74650000000,Denmark
54.53650000000,11.69370000000,Denmark
54.53680000000,11.73330000000,Denmark
54.53790000000,11.68050000000,Denmark
54.53820000000,11.72010000000,Denmark
54.53840000000,11.75970000000,Denmark
54.53920000000,11.66730000000,Denmark
54.53950000000,11.70690000000,Denmark
54.53980000000,11.74650000000,Denmark
54.54090000000,11.69370000000,Denmark
54.54110000000,11.73330000000,Denmark
54.54220000000,11.68050000000,Denmark
54.54250000000,11.72010000000,Denmark
54.54280000000,11.75970000000,Denmark
54.54360000000,11.66730000000,Denmark
54.54390000000,11.70690000000,Denmark
54.54410000000,11.74650000000,Denmark
54.54520000000,11.69370000000,Denmark
54.54550000000,11.73330000000,Denmark
54.54650000000,11.68050000000,Denmark
54.54680000000,11.72010000000,Denmark
54.54710000000,11.75970000000,Denmark
54.54790000000,11.66730000000,Denmark
54.54820000000,11.70690000000,Denmark
54.54840000000,11.74650000000,Denmark
54.54950000000,11.69370000000,Denmark
54.54980000000,11.73330000000,Denmark
54.55090000000,11.68050000000,Denmark
54.55120000000,11.72010000000,Denmark
54.55140000000,11.75970000000,Denmark
54.55220000000,11.66730000000,Denmark
54.55250000000,11.70690000000,Denmark
54.55280000000,11.74650000000,Denmark
54.55380000000,11.69370000000,Denmark
54.55410000000,11.73330000000,Denmark
54.55520000000,11.68050000000,Denmark
54.55550000000,11.72010000000,Denmark
54.55580000000,11.75970000000,Denmark
54.55650000000,11.66730000000,Denmark
54.55680000000,11.70690000000,Denmark
54.55710000000,11.74650000000,Denmark
54.55820000000,11.69370000000,Denmark
54.55850000000,11.73330000000,Denmark
54.55950000000,11.68050000000,Denmark
54.55980000000,11.72010000000,Denmark
54.56010000000,11.75970000000,Denmark
54.56090000000,11.66730000000,Denmark
54.56120000000,11.70690000000,Denmark
54.56140000000,11.74650000000,Denmark
54.56250000000,11.69370000000,Denmark
54.56280000000,11.73330000000,Denmark
54.56380000000,11.68050000000,Denmark
54.56410000000,11.72010000000,Denmark
54.56520000000,11.66730000000,Denmark
54.56550000000,11.70690000000,Denmark
54.56680000000,11.69370000000,Denmark
54.56820000000,11.68050000000,Denmark
54.56950000000,11.66730000000,Denmark
